Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,195,0,58,58.131093333381266,39.73760000008042,112.75659999955678,563.0,25.40450755609969,0.0,58,60,61,63,66,70,70,72,110,110,110
,Aggregated,195,0,58,58.131093333381266,39.73760000008042,112.75659999955678,563.0,25.40450755609969,0.0,58,60,61,63,66,70,70,72,110,110,110
