Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,190,0,59,61.28465473658779,42.963600000803126,115.21329999959562,563.0,25.458881723495615,0.0,60,63,64,66,72,82,100,100,120,120,120
,Aggregated,190,0,59,61.28465473658779,42.963600000803126,115.21329999959562,563.0,25.458881723495615,0.0,60,63,64,66,72,82,100,100,120,120,120
