Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,195,0,60,76.90883128206434,43.51229999883799,806.5572999985307,563.0,23.164136156719515,0.0,60,64,65,67,73,86,800,800,810,810,810
,Aggregated,195,0,60,76.90883128206434,43.51229999883799,806.5572999985307,563.0,23.164136156719515,0.0,60,64,65,67,73,86,800,800,810,810,810
