"sampled_at_utc","worker_container_count","worker_cpu_percent_sum","worker_cpu_percent_mean","worker_memory_mib_sum"
"2026-07-10T16:51:00.1658299Z","2","99.49","49.745","101.9"
"2026-07-10T16:51:04.0613150Z","2","53.46","26.73","81.23"
"2026-07-10T16:51:07.2608121Z","2","0.04","0.02","81.23"
