Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,65,0,66,73.12942769198204,45.29129999718862,202.16249999793945,671.0,26.01685452392397,0.0,66,73,76,78,87,150,160,200,200,200,200
,Aggregated,65,0,66,73.12942769198204,45.29129999718862,202.16249999793945,671.0,26.01685452392397,0.0,66,73,76,78,87,150,160,200,200,200,200
