strategy,task_count,average_wait_time,max_wait_time,p95_wait_time,p99_wait_time,average_turnaround_time,max_ready_queue_length,worker_utilization,worker_count
fifo,52.0,48.7096153846154,101.45000000000002,97.70000000000002,101.45000000000002,51.675000000000004,30.0,0.9747155499367889,1.0
fifo,52.0,19.742307692307694,44.400000000000006,42.80000000000001,44.400000000000006,22.707692307692312,28.0,0.8585746102449888,2.0
fifo,52.0,5.311538461538463,17.200000000000003,15.700000000000003,17.200000000000003,8.27692307692308,21.0,0.6070866141732283,4.0
fifo,52.0,0.8846153846153846,3.700000000000003,3.5,3.700000000000003,3.8500000000000005,10.0,0.30354330708661414,8.0
priority,52.0,37.0173076923077,121.45000000000002,112.95000000000002,121.45000000000002,39.98269230769232,26.0,0.9747155499367887,1.0
priority,52.0,13.999038461538463,55.85000000000001,50.599999999999994,55.85000000000001,16.96442307692308,23.0,0.8326133909287255,2.0
priority,52.0,4.21923076923077,19.200000000000003,17.700000000000003,19.200000000000003,7.184615384615385,19.0,0.6070866141732283,4.0
priority,52.0,0.7923076923076924,4.75,4.0,4.75,3.7576923076923077,9.0,0.30354330708661414,8.0
predicted_sjf,52.0,26.042307692307688,121.44999999999999,108.44999999999999,121.44999999999999,29.007692307692302,26.0,0.9747155499367889,1.0
predicted_sjf,52.0,9.747115384615382,54.099999999999994,49.099999999999994,54.099999999999994,12.712499999999997,20.0,0.848651623555311,2.0
predicted_sjf,52.0,3.253846153846154,19.15,15.399999999999999,19.15,6.2192307692307685,16.0,0.6070866141732283,4.0
predicted_sjf,52.0,0.6653846153846152,4.949999999999999,3.5,4.949999999999999,3.630769230769231,8.0,0.30354330708661414,8.0
oracle_sjf,52.0,26.042307692307688,121.44999999999999,108.44999999999999,121.44999999999999,29.007692307692302,26.0,0.9747155499367889,1.0
oracle_sjf,52.0,9.747115384615382,54.099999999999994,49.099999999999994,54.099999999999994,12.712499999999997,20.0,0.848651623555311,2.0
oracle_sjf,52.0,3.253846153846154,19.15,15.399999999999999,19.15,6.2192307692307685,16.0,0.6070866141732283,4.0
oracle_sjf,52.0,0.6653846153846152,4.949999999999999,3.5,4.949999999999999,3.630769230769231,8.0,0.30354330708661414,8.0
cost_aware,52.0,26.513461538461534,121.44999999999999,108.44999999999999,121.44999999999999,29.478846153846145,26.0,0.9747155499367889,1.0
cost_aware,52.0,9.747115384615382,54.099999999999994,49.099999999999994,54.099999999999994,12.712499999999997,20.0,0.848651623555311,2.0
cost_aware,52.0,3.253846153846154,19.15,15.399999999999999,19.15,6.2192307692307685,16.0,0.6070866141732283,4.0
cost_aware,52.0,0.6653846153846152,4.949999999999999,3.5,4.949999999999999,3.630769230769231,8.0,0.30354330708661414,8.0
