strategy,task_count,average_wait_time,max_wait_time,p95_wait_time,p99_wait_time,average_turnaround_time,max_ready_queue_length,worker_utilization
fifo,52.0,48.7096153846154,101.45000000000002,97.70000000000002,101.45000000000002,51.675000000000004,30.0,0.9747155499367889
priority,52.0,37.0173076923077,121.45000000000002,112.95000000000002,121.45000000000002,39.98269230769232,26.0,0.9747155499367887
predicted_sjf,52.0,26.042307692307688,121.44999999999999,108.44999999999999,121.44999999999999,29.007692307692302,26.0,0.9747155499367889
oracle_sjf,52.0,26.042307692307688,121.44999999999999,108.44999999999999,121.44999999999999,29.007692307692302,26.0,0.9747155499367889
cost_aware,52.0,26.513461538461534,121.44999999999999,108.44999999999999,121.44999999999999,29.478846153846145,26.0,0.9747155499367889
