Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,70,0,74,116.69399999991583,54.560699998546625,768.6886000010418,671.0,20.696548611793514,0.0,74,77,83,95,110,760,770,770,770,770,770
,Aggregated,70,0,74,116.69399999991583,54.560699998546625,768.6886000010418,671.0,20.696548611793514,0.0,74,77,83,95,110,760,770,770,770,770,770
