Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,18,0,44,47.94571111132326,38.27870000168332,97.41439999925205,677.0,10.448897161555463,0.0,44,46,47,47,58,97,97,97,97,97,97
,Aggregated,18,0,44,47.94571111132326,38.27870000168332,97.41439999925205,677.0,10.448897161555463,0.0,44,46,47,47,58,97,97,97,97,97,97
