seed,prediction_error,prediction_error_sigma,strategy,worker_count,measurement_task_count,average_wait_time,p95_wait_time,p99_wait_time,max_wait_time,p95_slowdown,p99_slowdown,slo_violation_rate,long_wait_rate,throughput,worker_utilization,prediction_mae,prediction_median_absolute_error,prediction_spearman,short_task_count,short_p95_wait_time,short_p99_wait_time,short_max_wait_time,short_p99_slowdown,medium_task_count,medium_p95_wait_time,medium_p99_wait_time,medium_max_wait_time,medium_p99_slowdown,long_task_count,long_p95_wait_time,long_p99_wait_time,long_max_wait_time,long_p99_slowdown
17,exact,0.0,fifo,1,500,12.456374158602875,45.889973441679786,57.75396036864913,66.04888609039335,65.38484720768196,111.03255318582356,0.42,0.116,0.36543122647805987,0.815622050555384,0.0,0.0,1.0,248,43.05989353644759,57.90043324540716,66.04888609039335,127.16654266303331,181,48.082374813280126,63.806799979884545,64.31775677773817,49.718006142441375,71,46.54668466363114,55.44690951585267,55.44690951585267,15.830055255040257
17,exact,0.0,predicted_sjf,1,500,5.225442793408479,18.94412558507554,35.75798620843011,149.14987505436432,20.306680895386986,27.703598005025245,0.166,0.016,0.36543122647805987,0.815622050555384,0.0,0.0,1.0,248,12.76911311611184,18.020631961233903,26.813796819517393,33.528532272822915,181,16.30573171462288,24.194121574378187,33.22226071895301,14.123934634723817,71,42.6692920601962,149.14987505436432,149.14987505436432,8.630669408476805
17,exact,0.0,oracle_sjf,1,500,5.225442793408479,18.94412558507554,35.75798620843011,149.14987505436432,20.306680895386986,27.703598005025245,0.166,0.016,0.36543122647805987,0.815622050555384,0.0,0.0,1.0,248,12.76911311611184,18.020631961233903,26.813796819517393,33.528532272822915,181,16.30573171462288,24.194121574378187,33.22226071895301,14.123934634723817,71,42.6692920601962,149.14987505436432,149.14987505436432,8.630669408476805
18,exact,0.0,fifo,1,500,10.727487186850817,27.233591101516595,32.097366375086494,37.031235585535114,54.20517067350357,93.18138556196463,0.514,0.024,0.3698691306856044,0.7822209879004721,0.0,0.0,1.0,270,27.612862255823757,33.58669818887927,37.031235585535114,125.10087621151901,166,24.621770484112176,31.71343924392113,31.8449451611923,29.776182070714345,64,26.780019148395013,34.64935217851826,34.64935217851826,10.851523675154349
18,exact,0.0,predicted_sjf,1,500,4.882468422707271,17.787729711738166,35.076995421964966,107.91485149438972,18.57276027387255,31.0234118387765,0.152,0.022,0.3698691306856044,0.7822209879004721,0.0,0.0,1.0,270,11.75132862432747,16.156878154512697,18.341781447949188,41.17482537519816,166,17.787729711738166,28.523907975409657,35.04189868752269,14.48197054476277,64,42.40116587289435,107.91485149438972,107.91485149438972,10.37173615408782
18,exact,0.0,oracle_sjf,1,500,4.882468422707271,17.787729711738166,35.076995421964966,107.91485149438972,18.57276027387255,31.0234118387765,0.152,0.022,0.3698691306856044,0.7822209879004721,0.0,0.0,1.0,270,11.75132862432747,16.156878154512697,18.341781447949188,41.17482537519816,166,17.787729711738166,28.523907975409657,35.04189868752269,14.48197054476277,64,42.40116587289435,107.91485149438972,107.91485149438972,10.37173615408782
19,exact,0.0,fifo,1,500,11.800935180606032,39.493126140850336,51.02607390089088,59.03870014630547,69.15708989678087,105.98447018699764,0.436,0.094,0.3642747679556336,0.8129657623417585,0.0,0.0,1.0,255,41.744110957578414,51.87383643641999,55.44451831428978,157.17716395637112,169,41.033796792593876,51.02607390089088,59.03870014630547,44.81769202741108,76,38.880020915674436,50.86212968466464,50.86212968466464,15.365608118779457
19,exact,0.0,predicted_sjf,1,500,4.873475745075572,15.88511679658825,52.812884559564395,93.06609498090427,21.017750164967463,28.966219598944726,0.14,0.016,0.36396813237455067,0.8129657623417585,0.0,0.0,1.0,255,11.33150818041247,20.6090220947558,25.017530604366414,41.91855839746847,169,13.310503665769374,18.70932561898303,20.693071671793405,11.961085397709939,76,71.01854015466188,93.06609498090427,93.06609498090427,10.786512933131972
19,exact,0.0,oracle_sjf,1,500,4.873475745075572,15.88511679658825,52.812884559564395,93.06609498090427,21.017750164967463,28.966219598944726,0.14,0.016,0.36396813237455067,0.8129657623417585,0.0,0.0,1.0,255,11.33150818041247,20.6090220947558,25.017530604366414,41.91855839746847,169,13.310503665769374,18.70932561898303,20.693071671793405,11.961085397709939,76,71.01854015466188,93.06609498090427,93.06609498090427,10.786512933131972
20,exact,0.0,fifo,1,500,51.72944984006094,107.63649876646173,118.70827389934652,124.45730741493776,217.55039546590842,308.6758312742992,0.84,0.67,0.36513094922425526,0.9655973854570078,0.0,0.0,1.0,250,107.82766213926357,117.30645855365356,124.45730741493776,360.1922937966225,175,112.51084243641435,120.43441046769362,121.88904593648954,95.22410610660623,75,100.33312050347695,121.47714186733378,121.47714186733378,25.365855054314085
