Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,75,0,65,120.37720533330382,47.275400000216905,863.4012000002258,671.0,20.423666050808944,0.0,65,69,77,79,90,860,860,860,860,860,860
,Aggregated,75,0,65,120.37720533330382,47.275400000216905,863.4012000002258,671.0,20.423666050808944,0.0,65,69,77,79,90,860,860,860,860,860,860
