Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,70,0,60,60.83468714277842,46.24060000060126,113.33970000123372,671.0,26.161395144765624,0.0,60,63,64,66,67,72,74,110,110,110,110
,Aggregated,70,0,60,60.83468714277842,46.24060000060126,113.33970000123372,671.0,26.161395144765624,0.0,60,63,64,66,67,72,74,110,110,110,110
