Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,70,0,66,66.48883857134413,52.18650000097114,120.68899999940186,671.0,26.277322456335398,0.0,66,69,70,72,74,79,85,120,120,120,120
,Aggregated,70,0,66,66.48883857134413,52.18650000097114,120.68899999940186,671.0,26.277322456335398,0.0,66,69,70,72,74,79,85,120,120,120,120
