Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /tasks,65,0,69,69.78575538473356,49.03080000076443,129.0750999978627,671.0,26.259955973622702,0.0,69,70,73,76,83,86,91,130,130,130,130
,Aggregated,65,0,69,69.78575538473356,49.03080000076443,129.0750999978627,671.0,26.259955973622702,0.0,69,70,73,76,83,86,91,130,130,130,130
